# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
1747.0000 s1_M27 2000000 1 397.0000 sensor1.0 N0.0 293 N sensor1.0->N0.0
2331.0000 s1_M17 2000000 1 1481.0000 sensor1.0 N0.0 275 N sensor1.0->N0.0
2337.0000 s1_M23 2000000 1 1187.0000 sensor1.0 N0.1 280 N sensor1.0->N0.1
2338.0000 s1_M44 2000000 1 138.0000 sensor1.0 N0.0 297 N sensor1.0->N0.0
2342.0000 s1_M39 2000000 1 392.0000 sensor1.0 N0.10 293 N sensor1.0->N0.10
2343.0000 s1_M46 2000000 1 43.0000 sensor1.0 N0.0 299 N sensor1.0->N0.0
2344.0000 s1_M28 2000000 1 944.0000 sensor1.0 N0.0 284 N sensor1.0->N0.0
2350.0000 s1_M30 2000000 1 850.0000 sensor1.0 N0.1 285 N sensor1.0->N0.1
2354.0000 s1_M25 2000000 1 1104.0000 sensor1.0 N0.10 281 N sensor1.0->N0.10
2355.0000 s1_M35 2000000 1 605.0000 sensor1.0 N0.0 289 N sensor1.0->N0.0
2356.0000 s1_M40 2000000 1 356.0000 sensor1.0 N0.0 294 N sensor1.0->N0.0
2357.0000 s1_M45 2000000 1 107.0000 sensor1.0 N0.0 298 N sensor1.0->N0.0
2358.0000 s1_M31 2000000 1 808.0000 sensor1.0 N0.0 286 N sensor1.0->N0.0
2363.0000 s1_M29 2000000 1 913.0000 sensor1.0 N0.1 284 N sensor1.0->N0.1
2365.0000 s1_M33 2000000 1 715.0000 sensor1.0 N0.10 288 N sensor1.0->N0.10
2366.0000 s1_M47 2000000 1 16.0000 sensor1.0 N0.0 299 N sensor1.0->N0.0
2371.0000 s1_M24 2000000 1 1171.0000 sensor1.0 N0.1 280 N sensor1.0->N0.1
2372.0000 s1_M42 2000000 1 272.0000 sensor1.0 N0.0 295 N sensor1.0->N0.0
2374.0000 s1_M37 2000000 1 524.0000 sensor1.0 N0.10 291 N sensor1.0->N0.10
2376.0000 s1_M32 2000000 1 776.0000 sensor1.0 N0.10 287 N sensor1.0->N0.10
2377.0000 s1_M41 2000000 1 327.0000 sensor1.0 N0.0 294 N sensor1.0->N0.0
2379.0000 s1_M36 2000000 1 579.0000 sensor1.0 N0.10 290 N sensor1.0->N0.10
2380.0000 s1_M43 2000000 1 230.0000 sensor1.0 N0.0 296 N sensor1.0->N0.0
2385.0000 s1_M26 2000000 1 1085.0000 sensor1.0 N0.1 281 N sensor1.0->N0.1
2390.0000 s1_M38 2000000 1 490.0000 sensor1.0 N0.1 291 N sensor1.0->N0.1
2391.0000 s1_M34 2000000 1 691.0000 sensor1.0 N0.0 288 N sensor1.0->N0.0
2405.0000 s1_M48 2000000 1 5.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
2454.0000 s1_M49 2000000 1 4.0000 sensor1.0 N0.1 299 N sensor1.0->N0.1
